Study ID	Reported Trait	Trait	Citation	P-Value Annotation	Beta Annotation	Score Type	Units (if applicable)	Used Super Population	SNPs Excluded Due To Cutoffs	SNP Overlap	Included SNPs	Polygenic Risk Score	Percentile
GCST004643	1,5-Anhydroglucitol Levels	1,5 Anhydroglucitol Measurement	Li et al. 2017	(ea)	NA	beta	z-score	EUR	0	4	7	-0.3946622934837893	67
GCST004643	1,5-Anhydroglucitol Levels	1,5 Anhydroglucitol Measurement	Li et al. 2017	NA	NA	beta	z-score	EUR	0	1	1	-8.455	11-44
GCST005945	Adamts13 Levels	A Disintegrin And Metalloproteinase With Thrombospondin Motifs 13	Ma et al. 2017	NA	NA	beta	%	EUR	0	1	2	1.5971085818641972	41
GCST004365	Blood Protein Levels	A Disintegrin And Metalloproteinase With Thrombospondin Motifs 13	Suhre et al. 2017	(ea, a disintegrin and metalloproteinase with thrombospondin motifs 13)	NA	beta	unit	EUR	0	2	3	-0.05254159526177674	3-6
GCST004365	Blood Protein Levels	A Disintegrin And Metalloproteinase With Thrombospondin Motifs 5 Measurement	Suhre et al. 2017	(ea, a disintegrin and metalloproteinase with thrombospondin motifs 5)	NA	beta	unit	EUR	0	1	2	0.06834957368050014	0-26
GCST000727	Abdominal Aortic Aneurysm	Abdominal Aortic Aneurysm	Gretarsdottir et al. 2010	NA	NA	OR	NA	EUR	0	2	2	1.113389888428268	49
GCST003877	Abdominal Aortic Aneurysm	Abdominal Aortic Aneurysm	Jones et al. 2016	NA	NA	OR	NA	EUR	0	8	12	1.0561798043086803	86
GCST011496	Abdominal Aortic Aneurysm	Abdominal Aortic Aneurysm	Klarin et al. 2020	NA	NA	OR	NA	EUR	0	8	10	1.0400459192338842	40-41
GCST003683	Intracranial, Abdominal Aortic Or Thoracic Aortic Aneurysm (Pleiotropy)	Abdominal Aortic Aneurysm	van 't Hof et al. 2016	NA	NA	OR	NA	EUR	0	3	4	1.0837925345924804	69
GCST012186	Gastrointestinal Event In Colchicine-Treated Recent Myocardial Infarction (Time To Event)	Abdominal Symptom	Dubé et al. 2021	NA	NA	OR	NA	EUR	0	1	2	1.4957545786670632	91-96
GCST004365	Blood Protein Levels	Abelson Tyrosine-Protein Kinase 2 Measurement	Suhre et al. 2017	(ea, abelson tyrosine-protein kinase 2)	NA	beta	unit	EUR	0	1	1	0.2762	80-100
GCST004251	Paneth Cell Defects In Crohn's Disease	Abnormal Paneth Cell Measurement	Liu et al. 2017	NA	NA	beta	unit	EUR	0	5	8	-0.5675849849598064	82
